P,n,Paper,Min Time,Time opt,mtpa
3300,200,139327.2207921629,180672.96018910504,122325.18880262524,1.1389904414287957
4200,200,102898.09726401308,141355.12214675208,96112.64834491984,1.0705989173739368
2200,300,319644.91294457734,446758.9117869292,285536.151295216,1.1194551425262305
3300,200,168708.575927625,261157.064174161,130136.35656272323,1.2963984883525665
2600,400,335505.94667834655,546003.5356578743,304049.7534185163,1.1034573878326144
4200,200,154202.4403707534,164981.22347371932,115155.9162563489,1.3390752762322948
2200,300,308065.6041127004,450876.8481975605,271109.03115785,1.1363162739249835
400,500,2629876.9927507397,2713069.8504244913,2553729.6590320794,1.0298180872236578
3300,200,182716.56150762577,289067.8420752874,137340.04259498307,1.3303954043938842
4200,200,165644.65395098185,185877.55845784396,137320.72161632078,1.20626116729709
2200,300,314117.821009777,462708.1599308389,287310.26703053585,1.0933052419473475
3300,200,177023.82392501362,309960.4981949383,154082.1067420537,1.1488928057127767
2600,400,324861.5214416851,493637.0057530545,292801.0304158052,1.1094958271845936
2200,400,390129.77226578654,559320.6243823954,359331.52676733746,1.0857098339673117
1100,600,1141326.1244372954,1369353.185997743,1105571.7861308698,1.032340132730371
4200,200,166331.64120147008,182565.91597038895,153927.2635835206,1.0805859685228465
4200,700,403627.4672083215,491857.4546733929,339343.20231478993,1.18943731436205
3300,200,156711.00133301617,227877.66023993946,112828.85828240226,1.3889265895147158
400,500,2559664.775778037,2622173.3238602066,2496256.3351045055,1.025401414022201
2200,300,309828.99025711685,454393.05283870985,270549.0491236405,1.1451860254571637
4200,200,132222.82236272065,155165.8485505961,112828.85828240226,1.1718883304816994
3800,800,522131.0680153092,720426.894869877,429908.43101980514,1.2145169304466503
5000,700,355724.2997811997,400533.44353891455,285048.28994442354,1.247943988194267
3300,200,151793.90186129918,216393.16699180004,117153.64424146911,1.2956822883668213
2100,900,894044.9879264488,1275553.851504656,857443.1564982831,1.0426871812443452
2600,400,338058.85630556504,535508.0918330693,304145.9587819863,1.1115020487511647
2200,300,313923.88314635394,430367.41953879205,275142.78326041385,1.140948999012033
400,500,2521696.9746228214,2532330.321300544,2442395.1812655283,1.0324688625188831
4200,200,127769.86653646555,156337.57258297864,92049.29190401144,1.3880592006042085
2200,400,378596.90166178625,512622.41615306184,346037.581400497,1.0940918617264457
4400,600,317622.56397643144,376570.0417426357,276392.94653271744,1.1491702952659595
3300,200,137633.53780651328,196818.8883868709,119662.02494636612,1.150185598716069
2200,300,294068.94470095774,445624.30012870283,248384.47212712505,1.1839264434793293
3600,1000,633085.7933664229,962953.0120862682,568590.1602105895,1.113430793687928
4200,200,122380.04983363587,149769.9629752108,94020.16245785909,1.3016362302978153
2600,400,327611.955096647,506163.08758400887,300284.4064601868,1.0910055535637126
3300,200,180000.263486202,250859.27558423576,131307.82707961582,1.3708266101841935
1100,600,1160509.16434383,1413765.9471099898,1111949.2322582956,1.0436709974491483
3000,700,543978.8405158671,839829.9665747506,475080.4832407059,1.1450246004743851
4200,200,153608.7379433121,182608.6415793557,115640.3076979828,1.3283321447439524
2200,300,299523.7354843186,436371.5152597031,272124.18440242205,1.1006876736886333
3300,200,146555.48786740156,211653.4980516212,121547.61276758194,1.2057455060646776
400,500,2688987.080859365,2811532.6710485513,2606939.1337576546,1.031472904771446
4200,700,391041.6000245143,481943.4143980682,336667.50755115284,1.1615068019746453
2600,400,358757.4236411515,566179.8450617153,319414.6963799524,1.123171312112702
2200,300,298865.64198666916,424660.9075484761,275718.68018159457,1.083951373152626
3300,200,170993.21312742255,261002.4592418466,128909.95551176889,1.3264546748820472
4200,200,121091.12673436632,157742.2107529282,95501.69574595724,1.2679473991381176
5000,700,344921.17868207814,368583.8696054195,282800.7063429684,1.2196616590616742
2200,400,394297.2044045893,582599.8691912199,359445.2240150747,1.0969604770379504
4200,200,153079.37210939953,174683.83313271287,124828.15119872103,1.2263209111036482
5000,200,94839.95428673961,113681.84113984772,80734.62460973267,1.1747122717816727
2100,900,937503.3985535232,1395939.0774218305,881690.9537377435,1.0633015963010333
2200,300,304617.83636885294,444108.1859059759,274768.8461056176,1.108633095368322
2600,400,360408.22682770464,533328.9865195629,315455.1295108645,1.1425023501331018
3800,800,488975.81822480296,670565.2587989108,432274.91449399566,1.1311686193893051
400,500,2551314.5945167206,2632886.001036349,2482361.0857191407,1.0277773887103954
5000,200,140003.7458036383,161571.60119828637,115155.9162563489,1.2157755359435949
2200,300,304514.2541939617,419173.24959556706,281245.11999948305,1.0827361349221682
4100,900,496644.127033503,636781.3840513726,439178.2021088767,1.1308487640066889
1100,600,1120053.396556686,1398665.0807598685,1052815.9186836737,1.0638644198665599
400,500,2536409.909014421,2593033.79975975,2462851.685660068,1.0298670942235966
5000,200,158500.74594295776,178232.54285166558,137320.72161632078,1.1542376421951435
2200,400,381922.4806369778,546465.8908535924,354881.5712711298,1.0761969951524721
